PF02838	PF05786
PF02840	PF05827
PF02843	PF05832
PF02844	PF05890
PF02845	PF05891
PF02847	PF05899
PF02852	PF05960
PF02854	PF05978
PF02861	PF05983
PF02862	PF05995
PF02866	PF05997
PF02867	PF06017
PF02868	PF06026
PF02872	PF06032
PF02874	PF06041
PF02877	PF06042
PF02878	PF06046
PF02879	PF06052
PF02880	PF06058
PF02881	PF06068
PF02882	PF06071
PF02883	PF06087
PF02885	PF06089
PF02887	PF06090
PF02889	PF06093
PF02891	PF06094
PF02893	PF06100
PF02894	PF06110
PF02896	PF06127
PF02900	PF06148
PF02902	PF06220
PF02906	PF06221
PF02910	PF06229
PF02911	PF06244
PF02913	PF06246
PF02919	PF06276
PF02921	PF06280
PF02922	PF06283
PF02926	PF06314
PF02928	PF06367
PF02929	PF06417
PF02933	PF06418
PF02934	PF06419
PF02935	PF06437
PF02936	PF06441
PF02939	PF06463
PF02940	PF06472
PF02953	PF06479
PF02958	PF06516
PF02966	PF06544
PF02969	PF06602
PF02970	PF06609
PF02978	PF06645
PF02982	PF06650
PF02984	PF06657
PF02985	PF06658
PF02990	PF06682
PF02991	PF06703
PF02996	PF06726
PF03006	PF06728
PF03009	PF06732
PF03029	PF06733
PF03031	PF06738
PF03033	PF06814
PF03051	PF06824
PF03055	PF06825
PF03060	PF06831
PF03061	PF06839
PF03062	PF06842
PF03067	PF06858
PF03068	PF06862
PF03069	PF06863
PF03070	PF06881
PF03073	PF06883
PF03074	PF06884
PF03079	PF06920
PF03081	PF06957
PF03095	PF06963
PF03097	PF06964
PF03098	PF06966
PF03099	PF06968
PF03104	PF06983
PF03105	PF06984
PF03109	PF06985
PF03114	PF06991
PF03124	PF06993
PF03126	PF06999
PF03127	PF07000
PF03129	PF07005
PF03131	PF07039
PF03133	PF07045
PF03134	PF07047
PF03142	PF07063
PF03143	PF07065
PF03144	PF07093
PF03147	PF07103
PF03151	PF07156
PF03152	PF07200
PF03153	PF07228
PF03155	PF07250
PF03159	PF07393
PF03162	PF07470
PF03164	PF07479
PF03167	PF07488
PF03169	PF07492
PF03171	PF07504
PF03177	PF07521
PF03178	PF07522
PF03179	PF07524
PF03184	PF07529
PF03188	PF07540
PF03190	PF07541
PF03194	PF07542
PF03198	PF07543
PF03200	PF07544
PF03205	PF07569
PF03208	PF07574
PF03211	PF07676
PF03215	PF07683
PF03221	PF07687
PF03223	PF07690
PF03224	PF07713
PF03226	PF07716
PF03227	PF07717
PF03232	PF07718
PF03234	PF07719
PF03239	PF07724
PF03248	PF07728
PF03256	PF07731
PF03271	PF07732
PF03291	PF07738
PF03297	PF07766
PF03306	PF07774
PF03311	PF07778
PF03313	PF07779
PF03315	PF07780
PF03328	PF07814
PF03330	PF07817
PF03332	PF07818
PF03343	PF07819
PF03345	PF07842
PF03348	PF07855
PF03357	PF07859
PF03358	PF07876
PF03364	PF07890
PF03366	PF07896
PF03367	PF07904
PF03368	PF07910
PF03370	PF07915
PF03371	PF07923
PF03372	PF07926
PF03378	PF07928
PF03381	PF07932
PF03388	PF07933
PF03398	PF07934
PF03399	PF07942
PF03403	PF07944
PF03404	PF07946
PF03416	PF07950
PF03417	PF07955
PF03422	PF07956
PF03435	PF07958
PF03439	PF07960
PF03441	PF07962
PF03443	PF07967
PF03446	PF07969
PF03447	PF07970
PF03450	PF07973
PF03452	PF07974
PF03453	PF07975
PF03454	PF07976
PF03455	PF07978
PF03456	PF08022
PF03460	PF08029
PF03462	PF08030
PF03463	PF08031
PF03464	PF08032
PF03465	PF08033
PF03467	PF08038
PF03473	PF08059
PF03475	PF08060
PF03476	PF08064
PF03477	PF08066
PF03481	PF08068
PF03483	PF08069
PF03484	PF08071
PF03485	PF08082
PF03492	PF08083
PF03501	PF08084
PF03517	PF08101
PF03531	PF08118
PF03534	PF08122
PF03537	PF08123
PF03540	PF08125
PF03542	PF08142
PF03547	PF08144
PF03556	PF08145
PF03561	PF08146
PF03568	PF08147
PF03571	PF08148
PF03576	PF08149
PF03577	PF08153
PF03583	PF08155
PF03587	PF08156
PF03595	PF08158
PF03596	PF08159
PF03604	PF08164
PF03619	PF08219
PF03630	PF08232
PF03635	PF08235
PF03637	PF08238
PF03639	PF08240
PF03641	PF08241
PF03643	PF08242
PF03645	PF08243
PF03647	PF08244
PF03648	PF08245
PF03650	PF08264
PF03656	PF08265
PF03660	PF08267
PF03661	PF08271
PF03663	PF08282
PF03664	PF08285
PF03666	PF08286
PF03669	PF08287
PF03676	PF08288
PF03690	PF08292
PF03694	PF08293
PF03707	PF08294
PF03715	PF08297
PF03719	PF08321
PF03720	PF08324
PF03721	PF08325
PF03725	PF08326
PF03727	PF08327
PF03730	PF08354
